epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2945.17,0.49538,0.28939,0.81658,0.99244,0.9653,0.99002,0.88432,0.48143,0.2727,0.80865,0.0004688,0.0004688,0.0004688
60,3004.92,0.49655,0.28279,0.82297,0.98994,0.9645,0.98907,0.89312,0.48347,0.27525,0.80832,0.0004424,0.0004424,0.0004424
61,3054.09,0.49429,0.28676,0.81885,0.98018,0.96814,0.98981,0.88794,0.47938,0.28856,0.80605,0.000416,0.000416,0.000416
62,3102.3,0.4914,0.28664,0.81726,0.98561,0.96814,0.98709,0.88606,0.47146,0.27247,0.80233,0.0003896,0.0003896,0.0003896
63,3150.36,0.49498,0.28785,0.81776,0.98996,0.96683,0.98909,0.89359,0.47604,0.26786,0.80548,0.0003632,0.0003632,0.0003632
64,3210.18,0.49132,0.28009,0.82308,0.98269,0.97415,0.98832,0.89558,0.4659,0.27176,0.80384,0.0003368,0.0003368,0.0003368
65,3259.02,0.48529,0.27693,0.82204,0.98749,0.96753,0.99174,0.89051,0.47519,0.26308,0.80626,0.0003104,0.0003104,0.0003104
66,3382.21,0.46684,0.26539,0.80835,0.98873,0.96324,0.9896,0.89408,0.47793,0.26773,0.80701,0.000284,0.000284,0.000284
67,3431.82,0.46848,0.26632,0.80633,0.98221,0.97059,0.9865,0.89286,0.47747,0.26919,0.80622,0.0002576,0.0002576,0.0002576
68,3483.92,0.46435,0.25757,0.80135,0.98266,0.96814,0.99149,0.89585,0.47256,0.25949,0.80408,0.0002312,0.0002312,0.0002312
69,3536.13,0.45875,0.25722,0.80992,0.99,0.97027,0.98911,0.89614,0.47524,0.26255,0.80475,0.0002048,0.0002048,0.0002048
70,3598.1,0.45998,0.25083,0.81075,0.99181,0.97059,0.9894,0.90476,0.46339,0.25688,0.80344,0.0001784,0.0001784,0.0001784
71,3647.47,0.45123,0.24776,0.8011,0.9862,0.97059,0.98917,0.89664,0.463,0.25806,0.80441,0.000152,0.000152,0.000152
72,3697.66,0.44665,0.24729,0.80467,0.98915,0.97059,0.98871,0.89331,0.46938,0.25717,0.80417,0.0001256,0.0001256,0.0001256
73,3749.61,0.44323,0.24395,0.79823,0.99,0.97013,0.98821,0.89239,0.4655,0.25768,0.80227,9.92e-05,9.92e-05,9.92e-05
74,3811.51,0.43526,0.2412,0.79931,0.98748,0.96633,0.98828,0.89578,0.46344,0.25541,0.80241,7.28e-05,7.28e-05,7.28e-05
75,3859.71,0.43111,0.23738,0.80099,0.98996,0.96667,0.98814,0.89944,0.45747,0.25223,0.8019,4.64e-05,4.64e-05,4.64e-05
